"Alan Kirkby","Q63852464","2019 European Parliament election in London","London","independent politician"
"Alex Matthews",Q76509821,,,
"Andrew Baker",Q76363638,,,
"Andy Beadle",,,,
"Donald Cole",,,,
"Elizabeth Jones",,,,
"Humaira Ali","Q75839015","2019 United Kingdom general election","Bermondsey and Old Southwark","Liberal Democrats"
"Jean-Paul Floru",,,,
"John Tyson",,,,
"Kingsley Abrams",,,,
"Loanna Morrison",,,,
"Lucy Hall",,,,
"Stephen Tyler",,,,
"Steve Freeman",,,,
"Tom Chance",,,,
"William Lavin",,,,
